no,Nama,Alamat,Latitude,Longtitude,Kode_Pos,Luas,Kapasitas,Keterangan_Lantai,Kode_Wilayah_1,Kode_Wilayah_2,Link_Maps,Jenis_Bencana
20,Kantor Kelurahan Mertasinga,"Jl. Urip Sumoharjo No.89, Limbangan, Mertasinga, Kec. Cilacap Utara, Kabupaten Cilacap, Jawa Tengah 53274",-7.6783886,109.0555327,541427,200,666,Lantai 2,3301730003,3301730,https://goo.gl/maps/V1BFNy6KgpH68HFY8,Tsunami dan Banjir
21,Gedung Golkar,"Jl. Perwira, Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212",-7.723753,109.010784,531782,450,1500,Lantai 2,3301720004,3301720,https://goo.gl/maps/Y1RDLcc7m1ChEvrYA,Tsunami dan Banjir
22,SMA Sri Mukti Cilacap,"Jl. Bawean No.293, Klempang, Gunungsimping, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212",-7.7083942,109.0220419,534415,756,2520,Lantai 2 dan Lantai 3,3301720005,3301720,https://goo.gl/maps/img2T24eCy9KQbSL9,Tsunami dan Banjir
23,SMP Muhammadiyah 1,"Jl. Letnan Jend. Suprapto No.63, Pasiran, Tegalreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53214",-7.7207021,109.0068647,533748,960,3200,Lantai 2,3301710002,3301710,https://goo.gl/maps/9ZKGWc4Zf5CcpwzE8,Tsunami dan Banjir
24,SMP Muhammadiyah 2,"Jl. Damar No.14, Rawagaru Wetan, Tritih Kulon, Kec. Cilacap Utara, Kabupaten Cilacap, Jawa Tengah 53231",-7.680848,109.0372534,541303,392,1306,Lantai 2,3301730004,3301730,https://goo.gl/maps/fESCjQ5yRWDtpYRG9,Tsunami dan Banjir
25,SMP PGRI 1 Cilacap,"Jl. Rama, Trajumas, Gumilir, Kec. Cilacap Utara, Kabupaten Cilacap, Jawa Tengah 53231",-7.6861251,109.0478478,540994,546,1820,Lantai 2,3301730002,3301730,https://goo.gl/maps/JrSEnLXj49oL1sDr5,Tsunami dan Banjir
26,SMP Purnama 2 Cilacap,"Jl. DI Panjaitan No.35, RT.04/RW.05, Gobok, Donan, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53211",-7.7239469,109.0054492,532264,700,1166,Lantai 2,3301720003,3301720,https://goo.gl/maps/GcdrXwZMTvCcDj1u7,Tsunami dan Banjir
27,SMP Negeri 8 Cilacap,"Jl. Jend. Sudirman No.29, Sidakaya Dua, Sidakaya, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53121",-7.7281032,109.0109191,534121,702,2340,Lantai 2,3301710003,3301710,https://goo.gl/maps/gpQtrEU4ykC7zzam7,Tsunami dan Banjir
28,SMK YPE Cilacap,"Jalan Doktor Soetomo No. 8, Sidanegara, Cilacap Tengah, Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah",-7.726644,109.0153868,531809,1008,3360,Lantai 2,3301720004,3301720,https://goo.gl/maps/3vcREndySauL43u89,Tsunami dan Banjir
29,SMP Negeri 4 Cilacap,"Jalan Dr. Sutomo No. 13, Rawasrengseng, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53211",-7.713808,109.0220023,533254,857,2856,Lantai 2,3301720004,3301720,https://goo.gl/maps/otwvHjQDG3PRj5d16,Tsunami dan Banjir
30,SMP Negeri 6 Cilacap,"Jl. Rinjani, Perumahan Pertamina, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212",-7.7109866,109.0129106,542743,0,440,Lantai 2,3301720004,3301720,https://goo.gl/maps/YS8RhXyFoJgqbmRf6,Tsunami dan Banjir
31,SD Negeri Tegalreja 01,"Jl. MT. Haryono 56-54, Pasiran, Tegalreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53213",-7.714913,109.005655,537461,339,1130,Lantai 2,3301710002,3301710,https://goo.gl/maps/8YSDE5h6MrJwdimFA,Tsunami dan Banjir
32,SMA Al-Irsyad Cilacap,"Jl. Jend. Sudirman No.70, Gobok, Donan, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53213",-7.7273491,109.0044836,521528,1240,4130,Lantai 2,3301720003,3301720,https://goo.gl/maps/XRtMLRxotJFcqRm29,Tsunami dan Banjir
33,SD Negeri Tegalreja 02,"Jalan MT.Haryono No.69, Tegalreja, Cilacap selatan, Banyusrep, Lomanis, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 5321",-7.6908329,109.0083077,537460,59,196,Lantai 2,3301710002,3301710,https://goo.gl/maps/BdEVWvnUE3bPAiSSA,Tsunami dan Banjir
34,Masjid Agung Darussalam,"Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212",-7.7274776,109.0086778,53343,325,975,Lantai 2,3301720004,3301720,https://goo.gl/maps/uez6zhBf1MQL8i1eA,Tsunami dan Banjir
35,Hotel 3 Intan,"Jl. RE. Martadinata No.192, Proliman, Tambakreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53213",-7.7327872,108.9990032,521285,2000,6000,Lantai 2,3301710001,3301710,https://goo.gl/maps/8gAdFLXUMP9jLTzm8,Tsunami dan Banjir
36,Hotel Mutiara,"Jl. Gatot Subroto No.136, Wanasari, Gunungsimping, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53224",-7.7090125,109.0192032,531545,300,900,Lantai 2,3301720005,3301720,https://goo.gl/maps/DVdRtRazCZQrBF746,Tsunami dan Banjir
